NACA 0233
1.000000  0.003496
0.999615  0.003647
0.998459  0.004096
0.996534  0.004843
0.993844  0.005884
0.990393  0.007215
0.986185  0.008830
0.981228  0.010722
0.975528  0.012883
0.969096  0.015304
0.961940  0.017975
0.954072  0.020886
0.945503  0.024025
0.936248  0.027380
0.926320  0.030939
0.915735  0.034687
0.904508  0.038612
0.892658  0.042700
0.880203  0.046937
0.867161  0.051307
0.853553  0.055798
0.839400  0.060393
0.824724  0.065079
0.809547  0.069840
0.793893  0.074662
0.777785  0.079529
0.761249  0.084425
0.744311  0.089336
0.726995  0.094246
0.709330  0.099138
0.691342  0.103996
0.673059  0.108805
0.654508  0.113546
0.635720  0.118203
0.616723  0.122757
0.597545  0.127192
0.578217  0.131488
0.558769  0.135627
0.539230  0.139589
0.519630  0.143357
0.500000  0.146909
0.480370  0.150228
0.460770  0.153293
0.441231  0.156085
0.421783  0.158586
0.402455  0.160777
0.383277  0.162641
0.364280  0.164161
0.345492  0.165320
0.326941  0.166104
0.308658  0.166500
0.290670  0.166495
0.273005  0.166079
0.255689  0.165243
0.238751  0.163980
0.222215  0.162286
0.206107  0.160157
0.190453  0.157592
0.175276  0.154593
0.160600  0.151163
0.146447  0.147306
0.132839  0.143030
0.119797  0.138344
0.107342  0.133259
0.095492  0.127786
0.084265  0.121939
0.073680  0.115732
0.063752  0.109182
0.054497  0.102305
0.045928  0.095116
0.038060  0.087634
0.030904  0.079874
0.024472  0.071854
0.018772  0.063589
0.013815  0.055095
0.009607  0.046385
0.006156  0.037472
0.003466  0.028368
0.001541  0.019083
0.000385  0.009625
0.000000  0.000000
0.000385  -0.009625
0.001541  -0.019083
0.003466  -0.028368
0.006156  -0.037472
0.009607  -0.046385
0.013815  -0.055095
0.018772  -0.063589
0.024472  -0.071854
0.030904  -0.079874
0.038060  -0.087634
0.045928  -0.095116
0.054497  -0.102305
0.063752  -0.109182
0.073680  -0.115732
0.084265  -0.121939
0.095492  -0.127786
0.107342  -0.133259
0.119797  -0.138344
0.132839  -0.143030
0.146447  -0.147306
0.160600  -0.151163
0.175276  -0.154593
0.190453  -0.157592
0.206107  -0.160157
0.222215  -0.162286
0.238751  -0.163980
0.255689  -0.165243
0.273005  -0.166079
0.290670  -0.166495
0.308658  -0.166500
0.326941  -0.166104
0.345492  -0.165320
0.364280  -0.164161
0.383277  -0.162641
0.402455  -0.160777
0.421783  -0.158586
0.441231  -0.156085
0.460770  -0.153293
0.480370  -0.150228
0.500000  -0.146909
0.519630  -0.143357
0.539230  -0.139589
0.558769  -0.135627
0.578217  -0.131488
0.597545  -0.127192
0.616723  -0.122757
0.635720  -0.118203
0.654508  -0.113546
0.673059  -0.108805
0.691342  -0.103996
0.709330  -0.099138
0.726995  -0.094246
0.744311  -0.089336
0.761249  -0.084425
0.777785  -0.079529
0.793893  -0.074662
0.809547  -0.069840
0.824724  -0.065079
0.839400  -0.060393
0.853553  -0.055798
0.867161  -0.051307
0.880203  -0.046937
0.892658  -0.042700
0.904508  -0.038612
0.915735  -0.034687
0.926320  -0.030939
0.936248  -0.027380
0.945503  -0.024025
0.954072  -0.020886
0.961940  -0.017975
0.969096  -0.015304
0.975528  -0.012883
0.981228  -0.010722
0.986185  -0.008830
0.990393  -0.007215
0.993844  -0.005884
0.996534  -0.004843
0.998459  -0.004096
0.999615  -0.003647
1.000000  -0.003496
